timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-1229.37,4.40,0.0559,11.2,1.0000,90.3,100,0
20000,-355.01,2.14,0.0113,2.3,1.0000,60.3,100,0
30000,-348.64,6.76,0.0161,3.2,1.0000,57.2,38,62
40000,-339.35,6.16,0.0142,2.8,1.0000,54.9,6,94
50000,-331.32,2.01,0.0163,3.3,1.0000,52.9,0,100
60000,-330.54,2.25,0.0100,2.0,1.0000,52.9,0,100
70000,-327.15,1.40,0.0115,2.3,1.0000,53.5,0,100
80000,-327.16,2.00,0.0052,1.0,1.0000,53.9,0,100
90000,-326.25,2.25,0.0124,2.5,1.0000,53.0,0,100
100000,-326.87,1.40,0.0096,1.9,1.0000,53.5,0,100
110000,-326.62,2.17,0.0096,1.9,1.0000,54.7,0,100
120000,-327.17,1.23,0.0099,2.0,1.0000,54.0,0,100
130000,-326.27,1.94,0.0099,2.0,1.0000,51.9,0,100
140000,-326.83,1.19,0.0149,3.0,1.0000,52.0,0,100
150000,-326.71,2.19,0.0044,0.9,1.0000,51.9,0,100
