step,alpha,constraint_C
500,4.9000,0.0000
1000,4.8000,0.0000
1500,4.7000,0.0000
2000,4.6000,0.0000
2500,4.5000,0.0000
3000,4.4600,0.0060
3500,5.4600,0.1100
4000,6.3000,0.0940
4500,6.9400,0.0740
5000,7.7800,0.0940
5500,8.4800,0.0800
6000,9.1400,0.0760
6500,9.7800,0.0740
7000,9.9000,0.0220
7500,10.0200,0.0220
8000,10.1400,0.0220
8500,10.2400,0.0200
9000,10.2600,0.0120
9500,10.4200,0.0260
10000,10.4400,0.0120
10500,10.5200,0.0180
11000,10.5600,0.0140
11500,10.6400,0.0180
12000,10.6400,0.0100
12500,10.7200,0.0180
13000,10.7400,0.0120
13500,10.7800,0.0140
14000,10.8000,0.0120
14500,10.8600,0.0160
15000,10.8400,0.0080
15500,10.9200,0.0180
16000,10.9400,0.0120
16500,11.3200,0.0480
17000,11.6400,0.0420
17500,12.1400,0.0600
18000,12.3600,0.0320
18500,12.7400,0.0480
19000,12.9400,0.0300
19500,13.3400,0.0500
20000,13.5200,0.0280
20500,13.7800,0.0360
21000,13.8600,0.0180
21500,14.1600,0.0400
22000,14.2800,0.0220
22500,14.5000,0.0320
23000,14.5200,0.0120
23500,14.5800,0.0160
24000,14.5800,0.0100
24500,14.6200,0.0140
25000,14.6000,0.0080
25500,14.6600,0.0160
26000,14.6800,0.0120
26500,14.7200,0.0140
27000,14.7000,0.0080
27500,14.7400,0.0140
28000,14.7200,0.0080
28500,14.8000,0.0180
29000,14.8000,0.0100
29500,14.8600,0.0160
30000,14.8800,0.0120
30500,14.9600,0.0180
31000,14.9800,0.0120
31500,15.0600,0.0180
32000,15.0600,0.0100
32500,15.1200,0.0160
33000,15.1400,0.0120
33500,15.2200,0.0180
34000,15.2200,0.0100
34500,15.3000,0.0180
35000,15.3200,0.0120
35500,15.3800,0.0160
36000,15.3600,0.0080
36500,15.4200,0.0160
37000,15.4000,0.0080
37500,15.4200,0.0120
38000,15.4200,0.0100
38500,15.4800,0.0160
39000,15.5000,0.0120
39500,15.5200,0.0120
40000,15.5200,0.0100
40500,15.5600,0.0140
41000,15.5600,0.0100
41500,15.5800,0.0120
42000,15.5600,0.0080
42500,15.6000,0.0140
43000,15.5800,0.0080
43500,15.6200,0.0140
44000,15.6200,0.0100
44500,15.6600,0.0140
45000,15.6800,0.0120
45500,15.7200,0.0140
46000,15.7400,0.0120
46500,15.7800,0.0140
47000,15.8000,0.0120
47500,15.8400,0.0140
48000,15.8600,0.0120
48500,15.9200,0.0160
49000,15.9200,0.0100
49500,15.9600,0.0140
50000,15.9800,0.0120
50500,16.0400,0.0160
51000,16.0400,0.0100
51500,16.1000,0.0160
52000,16.1200,0.0120
52500,16.1800,0.0160
53000,16.2000,0.0120
53500,16.2400,0.0140
54000,16.2400,0.0100
54500,16.2800,0.0140
55000,16.2600,0.0080
55500,16.3400,0.0180
56000,16.3400,0.0100
56500,16.4200,0.0180
57000,16.4200,0.0100
57500,16.4800,0.0160
58000,16.5000,0.0120
58500,16.5600,0.0160
59000,16.5600,0.0100
59500,16.6000,0.0140
60000,16.6200,0.0120
60500,16.6800,0.0160
61000,16.7000,0.0120
61500,16.7400,0.0140
62000,16.7200,0.0080
62500,16.8000,0.0180
63000,16.8200,0.0120
63500,16.8600,0.0140
64000,16.8600,0.0100
64500,16.9200,0.0160
65000,16.9200,0.0100
65500,16.9800,0.0160
66000,17.0000,0.0120
66500,17.0800,0.0180
67000,17.0800,0.0100
67500,17.1400,0.0160
68000,17.1400,0.0100
68500,17.1800,0.0140
69000,17.1800,0.0100
69500,17.2400,0.0160
70000,17.2600,0.0120
70500,17.3200,0.0160
71000,17.3200,0.0100
71500,17.3600,0.0140
72000,17.3400,0.0080
72500,17.3600,0.0120
73000,17.3800,0.0120
73500,17.4400,0.0160
74000,17.4600,0.0120
74500,17.5600,0.0200
75000,17.6200,0.0160
75500,17.7000,0.0180
76000,17.7200,0.0120
76500,17.7400,0.0120
77000,17.7400,0.0100
77500,17.7800,0.0140
78000,17.7600,0.0080
78500,17.8200,0.0160
79000,17.8400,0.0120
79500,17.8400,0.0100
80000,17.8400,0.0100
80500,17.9400,0.0200
81000,17.9200,0.0080
81500,17.9800,0.0160
82000,18.0000,0.0120
82500,18.0600,0.0160
83000,18.0600,0.0100
83500,18.1200,0.0160
84000,18.0800,0.0060
84500,18.1400,0.0160
85000,18.0800,0.0040
85500,18.1600,0.0180
86000,18.1400,0.0080
86500,18.2000,0.0160
87000,18.2000,0.0100
87500,18.2600,0.0160
88000,18.2600,0.0100
88500,18.3400,0.0180
89000,18.3600,0.0120
89500,18.4400,0.0180
90000,18.4600,0.0120
90500,18.5200,0.0160
91000,18.5200,0.0100
91500,18.5600,0.0140
92000,18.5400,0.0080
92500,18.6200,0.0180
93000,18.6200,0.0100
93500,18.6800,0.0160
94000,18.6800,0.0100
94500,18.7400,0.0160
95000,18.7600,0.0120
95500,18.8200,0.0160
96000,18.8200,0.0100
96500,18.9000,0.0180
97000,18.9000,0.0100
97500,18.9400,0.0140
98000,18.9600,0.0120
98500,19.0400,0.0180
99000,19.0600,0.0120
99500,19.1000,0.0140
100000,19.1000,0.0100
100500,19.0800,0.0080
101000,19.0800,0.0100
101500,19.1200,0.0140
102000,19.1200,0.0100
102500,19.1800,0.0160
103000,19.1800,0.0100
103500,19.2000,0.0120
104000,19.2200,0.0120
104500,19.2400,0.0120
105000,19.2200,0.0080
105500,19.2600,0.0140
106000,19.2400,0.0080
106500,19.3000,0.0160
107000,19.3000,0.0100
107500,19.3600,0.0160
108000,19.3600,0.0100
108500,19.4200,0.0160
109000,19.4400,0.0120
109500,19.5000,0.0160
110000,19.4800,0.0080
110500,19.5600,0.0180
111000,19.5200,0.0060
111500,19.5800,0.0160
112000,19.5800,0.0100
112500,19.6000,0.0120
113000,19.5800,0.0080
113500,19.6400,0.0160
114000,19.6200,0.0080
114500,19.6600,0.0140
115000,19.6600,0.0100
115500,19.6400,0.0080
116000,19.6400,0.0100
116500,19.6600,0.0120
117000,19.6200,0.0060
117500,19.7000,0.0180
118000,19.7200,0.0120
118500,19.7800,0.0160
119000,19.8000,0.0120
119500,19.8200,0.0120
120000,19.8400,0.0120
120500,19.8800,0.0140
121000,19.8800,0.0100
121500,19.9000,0.0120
122000,19.8600,0.0060
122500,19.8600,0.0100
123000,19.8600,0.0100
123500,19.8600,0.0100
124000,19.8400,0.0080
124500,19.9200,0.0180
125000,19.8600,0.0040
125500,19.9400,0.0180
126000,19.9600,0.0120
126500,20.0200,0.0160
127000,20.0200,0.0100
127500,20.1000,0.0180
128000,20.0400,0.0040
128500,20.0200,0.0080
129000,19.9200,0.0000
129500,19.9000,0.0080
130000,19.8400,0.0040
130500,19.9000,0.0160
131000,19.8000,0.0000
131500,19.7000,0.0000
132000,19.6000,0.0000
132500,19.5000,0.0000
133000,19.4000,0.0000
133500,19.3000,0.0000
134000,19.2600,0.0060
134500,19.1600,0.0000
135000,19.1000,0.0040
135500,19.1200,0.0120
136000,19.0600,0.0040
136500,19.0200,0.0060
137000,19.0200,0.0100
137500,18.9200,0.0000
138000,18.8600,0.0040
138500,18.8000,0.0040
139000,18.7000,0.0000
139500,18.6000,0.0000
140000,18.5000,0.0000
140500,18.4000,0.0000
141000,18.3000,0.0000
141500,18.2000,0.0000
142000,18.1000,0.0000
142500,18.0000,0.0000
143000,17.9000,0.0000
143500,17.8000,0.0000
144000,17.7000,0.0000
144500,17.6000,0.0000
145000,17.5000,0.0000
145500,17.4000,0.0000
146000,17.3000,0.0000
146500,17.2000,0.0000
147000,17.1000,0.0000
147500,17.0000,0.0000
148000,16.9000,0.0000
148500,16.8000,0.0000
149000,16.7000,0.0000
149500,16.6000,0.0000
150000,16.5000,0.0000
